robot,rating,matches,wins,losses,draws,ko_wins,ko_losses,win_rate,last_match_date
Homer,1000,0,0,0,0,0,0,0.0,
Cones of Dunshire,1000,0,0,0,0,0,0,0.0,
Dispatchula,1056,3,3,0,0,3,0,1.0,2025-09-15 06:37:59
Bort,970,2,0,2,0,0,2,0.0,2025-09-15 06:37:31
Whammo Can & Driveway Hero,988,3,1,2,0,1,2,0.3333,2025-09-15 06:37:59
