robot,rating,matches,wins,losses,draws,ko_wins,ko_losses,win_rate,last_match_date
NV (Easiest Thing in The World),969,2,0,2,0,0,2,0.0,2025-09-13 00:05:44
Vortex,1037,2,2,0,0,2,0,1.0,2025-09-12 23:46:51
Shrubert,1003,2,1,1,0,1,1,0.5,2025-09-13 00:05:44
Kansei Dorifto,1000,0,0,0,0,0,0,0.0,
Anubis,983,1,0,1,0,0,1,0.0,2025-09-15 06:05:09
Charity Case,989,3,1,2,0,1,2,0.3333,2025-09-15 06:05:50
Ipseity,1038,2,2,0,0,2,0,1.0,2025-09-15 06:05:50
